content,content_title,content_author,content_copyright,style,style_title,style_author,style_copyright,weight,index,gifs,images,metadata,to_review
adamo.jpg,The Creation of Adam,Michelangelo,False,cocina_alpina.jpg,Cocina Alpina,Ludwig Kirchner,False,50000.0,114,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,composition_10.jpg,Composition X,Wassily Kandinsky,False,50000.0,115,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,composition_II_with_red_blue_and_yellow.jpg,Composition with Red Blue and Yellow,Piet Mondrian,False,50000.0,116,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,composition_vi.jpg,Composition VI,Wassily Kandinsky,False,50000.0,117,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,composition_vii.jpg,Composition VII,Wassily Kandinsky,False,50000.0,118,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,composition_viii.jpg,Composition VIII,Wassily Kandinsky,False,50000.0,119,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,cows_red_green_yellow.jpg,Cows Red Green Yellow,Franz Marc,False,50000.0,120,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,crows.jpg,Wheatfields with Crows,Vincent Van Gogh,False,50000.0,121,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,dance_hall_bellevue.jpg,Dance Hall Bellevue,Ludwig Kirchner,False,50000.0,122,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,death_and_life.jpg,Death and Life,Gustav Klimt,False,50000.0,123,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,decoration_tuileries.jpg,"Rythme No. 1, Decoration for the Salon des Tuileries",Robert Delaunay,False,50000.0,124,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,der_geteckte_tisch.jpg,Der Geteckte Tisch,"
Karl Schmid",False,50000.0,125,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,der_leere_teller.jpg,Der leere Teller,Hans Krenn,False,50000.0,126,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,dynamism_of_a_cyclist.jpg,Dynamism of a Cyclist,Umberto Boccioni,False,50000.0,127,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,edtaonisl.jpg,Edtaonisl,Francis Picabia,False,50000.0,128,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,elasticity.jpg,Elasticity,Umberto Boccioni,False,50000.0,129,True,True,True,False
adamo.jpg,The Creation of Adam,Michelangelo,False,evening.jpg,Evening; Red Tree,Piet Mondrian,False,50000.0,130,False,False,False,False
adamo.jpg,The Creation of Adam,Michelangelo,False,fighting_forms.jpg,Fighting Forms,Franz Marc,False,50000.0,131,False,False,False,False
adamo.jpg,The Creation of Adam,Michelangelo,False,flowers.jpg,Flowers,Ben Giles,False,50000.0,132,False,False,False,False
adamo.jpg,The Creation of Adam,Michelangelo,False,four_girls.jpg,Four Girls,August Macke,False,50000.0,133,False,False,False,False
